color,condition,customerReviewAverage,customerReviewCount,description,features,longDescription,manufacturer,modelNumber,name,regularPrice,salePrice,shortDescription,sku,type,upc
Black/Gray,New,4.4,518.0,,"[{'feature': ""Washable design simplifies cleanup\nSimply place the shaver head under the faucet after you're finished.""}, {'feature': 'Dual-sided steel blades\nEfficiently cut unwanted hair without pulling.'}, {'feature': 'Battery-powered\nSo you can shave or trim without cords getting in the way.'}]","Get rid of nose, brow and ear hairs with this Philips Norelco nose trimmer. The protective guard system offers comfortable hair removal without pulling and provides a barrier between skin and blades, while the rechargeable LiIon battery supports cordless trimming. This Philips Norelco nose trimmer features an ergonomically designed grip for easy handling.",Philips Norelco,NT3600/42,Philips Norelco - 3000 series Hair Trimmer - Black/Gray,14.99,11.99,,6384520,HardGood,075020087003
Black/Gray,New,4.0,41.0,,"[{'feature': '14&#8221; Smart HD Touchscreen\nExperience an immersive workout with the 14-inch Smart HD touchscreen. Follow your iFIT&#174; trainer through intense workouts and view your stats from distance to calories burned with the simple swipe of a finger.'}, {'feature': '30-Day iFIT&#174; Membership Included\nFollow our world-class iFIT Trainers as they take you on trainer-led Global Workouts and Studio Classes, digitally controlling your machine so you can focus on giving 100%.'}, {'feature': '32 Lb. Effective, Inertia-Enhanced Flywheel\nEngineered for incredibly smooth performance, this 32-pound, inertia-enhanced flywheel delivers a more even, natural ride. All NordicTrack ellipticals use SMR&#8482; Silent Magnetic Resistance, which creates a quieter workout experience.'}, {'feature': 'LIVE Decline/Incline Control\nWorkout exactly how you want and let your personal trainer digitally adjust your machine so it mimics their on-demand workout. With a 0 to 20% incline capacity, the Commercial 14.9 provides the settings you need for a calorie-torching workout.'}, {'feature': 'Adjustable Stride\nTake long, full steps at any pace with a power adjustable stride, which adapts naturally to your movements.'}, {'feature': '26 Digital Resistance Levels\nQuick, responsive, One Touch&#174; controls adjust your incline and resistance to vary workout intensity. With SMR&#8482; Silent Magnetic Resistance, every adjustment is quiet, smooth and natural.'}, {'feature': 'Bluetooth&#174; Compatible Audio*\nJam to your favorite playlist through dual 2-inch speakers while you exercise by syncing your device with the integrated Bluetooth&#174; audio.'}, {'feature': 'AutoBreeze&#8482; Workout Fan\nThe AutoBreeze fan keeps you cool during your workout. You can choose your own settings or allow it to automatically adjust to match your workout intensity.'}, {'feature': 'EKG Grip Pulse\nBuilt-in EKG grip pulse monitors your heart rate throughout your workout so you can ensure you remain in your target zone for maximum burn.'}, {'feature': 'Transport Wheels\nConveniently move your elliptical with built-in, front-mounted transport wheels.'}, {'feature': 'Water Bottle Holder\nStay hydrated throughout your workout by keeping your water bottle close. This convenient water bottle holder is built in for easy access.'}, {'feature': 'User Weight Capacity\n350 Lb.'}]","Experience an immersive workout with the 14-inch Smart HD touchscreen. Follow your iFit&#174; trainer through intense workouts and view your stats from distance to calories burned with the simple swipe of a finger. Follow an iFit trainer on the 14-inch Smart HD touchscreen as they take you on 1-on-1, trainer-led workouts around the globe or in calorie-burning studio sessions. Our expansive on-demand video library provides workouts for any level and our world-class trainers will digitally control your machine so you can focus on giving 100%.",NordicTrack,NTEL71420,NordicTrack - Commercial 14.9 - Black/Gray,1799.99,1599.99,Elliptical,6424904,HardGood,043619314984
Black/Gray,New,4.1,35.0,,"[{'feature': '7&#8221; Smart HD Touchscreen\nThis Smart HD touchscreen delivers plenty of interaction and entertainment to sidestep workout monotony.'}, {'feature': '19 Lb. Effective Inertia-Enhanced Flywheel\nEngineered for incredibly smooth performance, this heavy, 19-pound flywheel provides 24 levels of SMR&#8482; Silent Magnetic Resistance.'}, {'feature': 'iFIT Ready\nJoin personal trainers for Studio Classes and Global workouts as they auto-adjust your equipment for you.'}, {'feature': 'Bluetooth Compatible Audio\nConnect your device to the console sound system via Bluetooth&#174; to stay motivated with your favorite workout playlist. Ditch the earbuds for incredible sound with dual 2-inch speakers.'}, {'feature': 'AutoBreeze&#8482; Workout Fan\nStay cool and comfortable with the oversized fan that automatically adjusts its speed to match your workout intensity.'}, {'feature': 'Integrated Pivoting Tablet Holder\nAttach your tablet safely to the tablet holder and adjust the viewing angle to enjoy your favorite movies, music, and shows while you work out.'}, {'feature': 'Oversized Cushion Seat\nThis oversized seat provides a great cushion, so you can stay relaxed and focused on your workout.'}, {'feature': 'EKG Grip Sensor\nEKG sensors are built into both handlebars for a quick, accurate heart rate reading. Not a medical device, accuracy may vary.'}, {'feature': 'Wireless Chest Strap Included\nConnect to the included wireless chest strap for a continuous heart rate reading to help you stay in the right training zone for your fitness goals.'}, {'feature': '24 Digital Resistance Levels\nAdjust through 24 levels of resistance at the touch of a single button. More resistance increases your calorie burn.'}, {'feature': 'Extra-wide Ergonomic Pedals\nExtra-wide to fit every foot, these ergonomically designed pedals feature adjustable straps for added stability as you ride.'}, {'feature': 'Front-Mounted Transport Wheels\nQuickly move your stationary bike from room to room with built-in, front-mounted transport wheels.'}, {'feature': 'One Touch&#174; Controls\nQuick, responsive controls adjust your resistance almost instantly at the touch of a button. Your focus stays on your workout, instead of scrolling through options.'}, {'feature': 'Weight Capacity\n325 Lb.'}]","A full range of features delivers several entertainment options and advanced engineering, while the seat of the Commercial VU19 offers comfort and stability as you work out. The oversized cushioned seat features vertical and horizontal adjustment options. The 19 Lb. effective inertia-enhanced flywheel is equipped with SMR&#8482; Silent Magnetic Resistance to give you a quieter, smoother workout than ever before. Get new, in-studio workouts with personal trainers delivered every day to your 7-inch Smart HD touchscreen and watch your stats in full color. A self-adjusting AutoBreeze&#8482; workout fan keeps up with your speed to keep you cool as you train.",NordicTrack,NTEX76918,NordicTrack - Commercial VU 19 - Black/Gray,999.99,400.99,,6424920,HardGood,043619653052
Black/Gray,New,3.7,23.0,,"[{'feature': 'iFit&#174; Ready&#8482;&#9674;\nMaking time for world travel is a challenge&#8212;but it doesn&#8217;t have to be impossible. Visit Paris, hike the Swiss Alps, or jog the Chilean coast with your iFit&#174; Ready&#8482; elliptical powered by Google Maps&#8482;.'}, {'feature': '6&#8221; Backlit Display\nWe know when you&#8217;ve made up your mind about getting fit, you mean business. So we made sure your workout stats are right in front of you as you work out. That means you can watch your mileage, speed, calorie burn, heart rate, and time add up.'}, {'feature': '32 Workout Apps\nWhen you step on the pedals of a ProForm&#174; elliptical, you get instant access to professional training programs fully loaded and ready to go. Now with 32 workout apps on the Pro 9.9, you can enjoy a challenging workout focused on your goals.'}, {'feature': 'EKG Heart Rate Monitor\nGrab ahold of in-the-moment heart rate monitoring. These two hand-grip sensors are conveniently built into the handlebars. In a couple seconds, you&#8217;ll be able to see your heart rate while you train.'}, {'feature': 'Commercial-Gauge Solid Steel Construction\nMade from commercial-gauge solid steel, this machine is built to last.'}, {'feature': 'Front Drive Design\nStep up to a maximum stride length and an extra smooth ride with this front drive design. The sophisticated, small footprint of the ProForm&#174; Pro 9.9&#8232; elliptical is perfect for any space.'}, {'feature': '21&#8221; Power Adjustable Stride\nThe power adjustable stride can also be repositioned for a better individual fit for the whole family. Now you don&#8217;t have to compromise fit for function. With the ProForm&#174; Pro 9.9, the whole family can enjoy a stride length that works for them.'}, {'feature': 'Multi-Position Upper-Body Grips\nOur workout arms take your fitness from the straightforward lower-body workout of the treadmill to the total-body elliptical experience. By adding resistance and movement to the upper-body, you challenge your arms, shoulders, back, and core with each step.'}, {'feature': 'Digital Quick Incline&#8482;\nWe know you love the outdoors. That&#8217;s why we made incline training available on your elliptical. Now you can hike any mountain without leaving your living room. With a quick adjustment, this ramp adjusts your incline allowing you to focus on specific muscle groups.'}, {'feature': 'Oversized, Adjustable, Cushioned Pedals\nThese large pedals allow you a number of foot positions and provide important stability as you exercise.'}, {'feature': '28 Lb. Effective Inertia-Enhanced Flywheel\nExperience a smooth, steady pedal stroke with the flywheel made to perform. A faster gear ratio and effective weight placement deliver a more natural striding experience.'}, {'feature': '24 Resistance Levels\nWith 24 digital resistance levels, you can start out easy and progress to intense. Each level is smooth, frictionless, and silent with our patented SMR&#8482; Silent Magnetic Resistance.'}, {'feature': 'CoolAire&#8482; Workout Fan\nKeep cool with this built-in fan that features two speed settings. Quick console controls allow you to adjust the speed at any time.'}, {'feature': 'iPod&#174;-Compatible Audio\nOnce you create your raving workout playlist, just plug your iPod&#174; or MP3 player into our built-in sound system. Built with dual 2-inch speakers, you can turn up the tunes and turn up the tempo.'}, {'feature': 'Front-mounted Transport Wheels\nMoving this elliptical out of the way is fast and easy with the front-mounted wheels.'}, {'feature': 'Adjustable Leveling Feet\nKeep your elliptical stable on an uneven surface with these adjustable leveling feet.'}, {'feature': 'Water Bottle Holder\nStay hydrated throughout your workout by keeping your water bottle close. This convenient water bottle holder is built into the elliptical frame for easy access.'}, {'feature': 'Out-of-Box Easy Assembly\nWe engineered an elliptical that comes fully assembled out of the box. Now you can assemble your elliptical in minutes and get started on your workout. With just a few simple setup steps, your elliptical is out of the box and ready to use in minutes.'}, {'feature': '350 Lb. Weight Capacity\nThis elliptical accommodates up to 350 pounds.'}]","Stay motivated and on track with the ProForm&#174; Pro 9.9 elliptical. With the best in fitness technology, commercial-gauge construction and 32 professional trainer-created programs, you can get a lower body, upper body, or complete aerobic, calorie-burning workout in one efficient machine. Backed with a lifetime frame warranty, this is the machine that will get you to the next level.",ProForm,PFEL31016,ProForm - PRO 9.9 - Black/Gray,1099.99,1099.99,"Stay motivated and on track with the ProForm&#174; Pro 9.9 elliptical. With the best in fitness technology, commercial-gauge construction and 32 professional trainer-created programs, you can get a lower body, upper body, or complete aerobic, calorie-burning workout in one efficient machine. Backed with a lifetime frame warranty, this is the machine that will get you to the next level.",6426196,HardGood,043619435474
Black/Gray,New,4.3,10.0,,"[{'feature': 'Dual kneading shiatsu massage mechanism\nTravels up and down, relaxing your entire back.'}, {'feature': 'Soothing heat\nWarms and comforts all your sore tired muscles.'}, {'feature': '3 Massage zones\nFull body, upper back or lower back.'}, {'feature': 'Spot massage\nAllows you to massage a specific spot for pin-point relaxation.'}, {'feature': 'Vibrations with adjustable intensity in the seat\nSoothes your lower back and thighs.'}, {'feature': 'Programmable remote control\nAllows you to preset your favorite program.'}, {'feature': 'Intergrated strapping system\nSecurely fits around most chairs.'}]","The HoMedics&#174; Shiatsu Pro Plus is a kneading massage cushion with heat. The dual kneading shiatsu massager relaxes your back by traveling up and down. The 3-massage zone option allows you to choose between full, upper, or lower back settings. The spot massage option makes for a customizable experience of massaging a specific spot, while the adjustable vibration intensity setting in the seat works to soothe the lower back and thighs. Each massage cushion comes with a programmable remote control and is equipped with an integrated strapping system designed to fit most chairs.",HoMedics,MCS-380HA,HoMedics - Shiatsu Pro+ Massage Cushion with Heat - Black/Gray,129.99,129.99,,6473818,HardGood,031262073372
Black/Gray,New,4.0,1.0,,"[{'feature': 'Eight node shiatsu mechanism\nAllows for expanded back coverage.'}, {'feature': 'Soothing heat\nWarms and comforts all your sore tired muscles.'}, {'feature': '3 Massage zones\nFull body, upper back or lower back.'}, {'feature': 'Spot massage\nAllows you to massage a specific spot for pin-point relaxation.'}, {'feature': 'Vibrations with adjustable intensity in the seat\nSoothes your lower back and thighs.'}, {'feature': 'Programmable remote control\nAllows you to preset your favorite program.'}, {'feature': 'Intergrated strapping system\nSecurely fits around most chairs.'}]","Maximize your limited massage time with big relief for your entire back, courtesy of the 8-Node Shiatsu Massage Cushion With Heat from HoMedics. With 8 massaging nodes on its shiatsu mechanism, it&#8217;s a total back pain solution in one simple cushion. It offers 3 massage zones (upper back, lower back, or full back), plus a spot massage option if you need to focus your relief on a certain area. Turn on the seat vibration with adjustable intensity for extra soothing in your lower back and thighs. Then, activate the soothing heat and relax even more deeply as your pain melts away. Includes programmed controller and integrated strapping system to easily fit most chairs, for maximum convenience as well as coverage.",HoMedics,MCS-617HJ,HoMedics - 8-Node Shiatsu Massage Cushion With Heat - Black/Gray,169.99,169.99,,6473822,HardGood,031262093752
Black/Gray/Blue,New,4.1,403.0,,"[{'feature': 'Designed for Fitbit Charge 3 and Charge 4 activity trackers\nFor a custom look.'}, {'feature': 'Silicone construction\nProvides a lasting design.'}, {'feature': 'One size fits most\nFor a comfortable wear on most wrists.'}, {'feature': 'Secure stainless-steel watch-style buckle\nReveals a quality style.'}, {'feature': '2-pack\nLets you keep an extra on hand.'}]","Make your Fitbit Charge 3 or Charge 4 more comfortable with this pair of WITHit bands. The breathable sport band and understated woven band are both made of durable silicone, and the straightforward connector mechanisms let you quickly attach or remove your fitness tracker as needed. These WITHit bands have stainless-steel watch-style buckles for quick size adjustments.",WITHit,51572BBR,WITHit - Band Kit for Fitbit Charge 3 and Charge 4 (2-Pack) - Black/Gray/Blue,24.99,24.99,,6303754,HardGood,819856015836
Black/Gray/Blue,New,4.7,23.0,,"[{'feature': 'Independent Utility Bench\nChoose between flat, incline, and decline positions to build muscle across your entire upper body.'}, {'feature': 'Squat Rack\nStrengthen your legs and build endurance with this powerful squat rack.'}, {'feature': ""Olympic Sizing\nYour weight bench is compatible with any 6' or 7' Olympic-sized barbell (sold separately).""}, {'feature': 'Rolled Preacher Pad\nDevelop you biceps on this comfortable preacher curl pad.'}, {'feature': 'Adjustable Uprights\nPrioritize your safety as you bench press or squat by adjusting the weight crutches to the necessary height.'}, {'feature': 'Model Number\nPFBE29920'}]","Get a gym-quality workout from the privacy of your home with the ProForm Olympic Rack & Bench. Designed to develop full-body strength, this bench features a removable curl yoke for building bicep strength. An Olympic-sized rack includes adjustable barbell safeties so you can accommodate multiple users, and features a weight rack for the convenient storage of your own Olympic-sized weight plates (not included). You can perform squats, bench press, and military shoulder press with your rack to develop full-body strength and a balanced look. An included exercise chart illustrates a variety of exercises developed by a certified personal trainer and designed to supercharge your training to supply a great workout every time.",ProForm,PFBE29920,ProForm - Carbon Strength Olympic System - Black/Gray/Blue,499.99,499.99,Weight Bench,6433876,HardGood,043619874594
Black/Gray/Blue,New,4.4,11.0,,"[{'feature': 'Olympic Sizing\nFixed uprights are built to be compatible with Olympic barbells and weight plates, which are sold separately.'}, {'feature': 'Multiple Bench Positions\nChoose between flat, incline, or decline to target specific muscle groups and develop comprehensive strength.'}, {'feature': 'Vinyl Seat Covers\nDurable vinyl seat covers protect your bench and are easy to wipe clean after each use.'}, {'feature': ""Reinforced Frame\nReinforced framing improves your combination bench's durability.""}, {'feature': 'Leg Developer\nBuild lower-body strength with this powerful leg developer.'}, {'feature': 'Fixed Uprights\nFixed uprights store your barbell in between sets.'}, {'feature': 'Locking Seat Adjustment\nThis essential safety feature provides protection as you lift.'}, {'feature': '300 Lb. Weight Capacity\nThis bench can support a heavy user and lift load.'}, {'feature': 'Model Number\nPFBE11520'}]","Build strength like a pro from the comfort of your own home gym with the ProForm Sport XT Olympic System combination. Designed to support up to 510 Lbs. of Olympic-sized weight (sold separately), this powerful combo can be used to develop muscles across your entire body. An adjustable bench can be easily modified into a flat, decline, or incline position to target your chest, shoulders, triceps, and other important muscle groups in your upper body. An incorporated leg developer with 4 comfortable foam rolls allows you to target your quads, hamstrings, and hip flexors so you can build lean muscle across your entire body. A durable reinforced frame comes with a removable preacher pad so you can isolate your biceps and build support muscles in your shoulders. An included exercise chart, designed by a certified personal trainer, teaches proper form and outlines several workouts you can perform with this powerful combination bench.",ProForm,PFBE11520,ProForm - Sport XT Olympic System - Black/Gray/Blue,179.99,179.99,,6433877,HardGood,043619431919
Black/Gray/Blue,New,4.2,12.0,,"[{'feature': 'Pull-Up Bar\nDevelop your back, biceps, shoulders, and lats with an integrated pull-up bar.'}, {'feature': 'Adjustable Saftey Hooks\nStay safe as you train with weight crutches that adjust to your height.'}, {'feature': 'Locks Into Position\nBuilt to provide a stable weight training experience, your rack locks into position when in place.'}, {'feature': 'Folds Flat Against Wall\nThis innovative design allows your rack to collapse against the wall when your workout is finished so you can reclaim space in your home.'}, {'feature': 'Safety Bar\nPerfect for performing rack pulls and providing extra safety as you squat, this bar is easy to adjust.'}, {'feature': 'Exercise Chart Included\nGet more out of your workout with an included exercise chart designed by a certified personal trainer.'}, {'feature': '610 Lb. Total Weight Capacity\nThis foldable wall rack was engineered to support a heavy user and lift load. This weight limit supports up to a 300 lb. user weight plus a 310 lb. lift load.'}, {'feature': 'Model Number\nPFBE39520'}]","Start building your body inside your home with the ProForm Folding Wall Rack. When you&#8217;re ready for a great workout, fold the equipment out from the wall and easily attach the pull-up bar within seconds. Adjustable hooks keep your weight in the right place throughout your workout. With a 30-day membership to iFIT, you can learn proper form and gain access to personalized training developed to maximize your progress.",ProForm,PFBE39520,ProForm - Carbon Strength Foldable Wall Rack - Black/Gray/Blue,399.99,399.99,,6436845,HardGood,043619578133
Black/Gray/Red,New,4.3,53.0,,"[{'feature': 'Taper control\nEnables customized use.'}, {'feature': '8 Guide Combs\nEnsure even cutting at different lengths.'}, {'feature': 'Japanese stainless steel blades\nFor reliable durability.'}]","Trim and style your hair easily with this 20-piece set of Conair Barbershop Series haircut kit. The clipper has Japanese stainless steel blades and a powerful magnetic motor, providing efficient, professional-quality performance for precise cuts. This Conair Barbershop Series haircut kit includes eight guide combs for achieving different styles and a deluxe hard case for organized storage.",Conair,HC5000,Conair - Barbershop Series Hair Trimmer - Black/Gray/Red,49.99,49.99,,6410538,HardGood,074108364418
Black/Gray/Yellow,New,4.7,137.0,,"[{'feature': 'TRX TTC\n30-DAY FREE TRIAL TO TRX TRAINING CLUB INCLUDED: Power your fitness with unlimited access to 500+ On Demand workouts and daily LIVE classes guided by world-class trainers.'}, {'feature': ""The ultimate travel-ready, total-body home workout method.\nThe ultimate travel-ready, total-body home workout method for all levels and goals that's perfect for training indoors, outdoors, or on the go.""}, {'feature': 'FIT Suspension Trainer&#8482; is a full gym experience powered by your bodyweight.\nGet strong, get fast, get flexible, get lean, stay moving and find what moves you.'}, {'feature': 'Tested and trusted by athletes, fitness trainers, and physical therapists'}, {'feature': 'Ultra-light and ready for travel'}, {'feature': 'Locking carabiner clips to anchor of choice'}, {'feature': 'Locking loop design keeps straps even'}, {'feature': 'Premium webbing strap design in a cool grey'}, {'feature': 'Cam-lock adjusters for easy shortening and lengthening'}, {'feature': 'Comfortable padded handles'}, {'feature': 'Mimimalist foot cradles to slip on & go'}, {'feature': 'Packs light, goes anywhere'}, {'feature': 'Perfect for strength, cardio, mobility in one'}, {'feature': 'Comes with free trial to TRX Training Club&#174;'}]","The TRX&#174; FIT Suspension Trainer&#8482; is the ultimate travel-ready, total-body home workout method for all levels and goals. Ultra-portable, it&#8217;s perfect for training indoors, outdoors, or on the go. Plus, get the full gym experience with exclusive access to the TRX Training Club&#8480; fitness app.",TRX,TRXFIT-RTL,TRX - Fit System Suspension Trainer - Black/Gray/Yellow,99.99,99.99,,6367049,HardGood,847585006658
Black/Grey,New,4.3,12.0,,"[{'feature': 'Braun Beard Trimmer BT7220\nBeard Trimmer BT7220, Trimmer and Hair Clipper for Men, Lifetime Sharp Metal Blades, 39 Length Settings, Black/Grey Metal'}]","Achieve your style effortlessly with the Braun BT7220 beard trimmer & hair clipper for men. The BT7220 features a precision dial with 39 length settings and comes with Lifetime Sharp Metal Blades and Li-Ion battery. Washable trimmer head and comb. Box includes: 1 x Beard trimmer & hair clipper,2 x Precision beard & hair combs1 x Gillette Fusion5 razor,1 x Detail trimmer head,1 x Mini foil shaver,1 x Smart plug charger,1 x Cleaning brush,1 x Soft bagUser manual Warranty",Braun,BT7220,Braun - Beard Trimmer BT7220 - Black/Grey,64.99,54.99,,6415815,HardGood,069055888018
Black/Grey,New,1.0,1.0,,"[{'feature': 'Ounces\n74 oz capacity'}, {'feature': 'Dimensions\n5.35 x 10.5'}, {'feature': 'Materials\nBuilt only from the highest-Quality materials, Koda is BPA and phthalate free.'}, {'feature': 'Design\nSerious workouts call for serious hydration. At 2.2 liters, Koda is designed to help hydrate you through a huge workout, a long weekend, or a hectic day ahead. Hitting your daily water quota has never been easier.'}, {'feature': 'Peformance\nEnjoy enhanced features like our popular SpoutGuard to protect from dirty gym fingers, a secure screw-on lid, and an enormous 2.2-liter capacity-made  to satisfy a monster thirst.'}, {'feature': 'Convenience\nWith a streamlined design, a comfortable carry loop, and a sure-grip handle, Koda is built to effortlessly haul, around all the fluids you need.'}, {'feature': 'Construction\nSimply secure the screw-on lid, close the flip cap. And get moving. Or toss the jug in your car or gym bag and don&#8217;t worry when tips.'}]",At just over a half gallon hitting your daily water quota has never been easier. Hydration jug full for hours on end.,BlenderBottle,C05290,BlenderBottle - Hydration Koda - 74 oz. (Motivational) - Black/Grey,16.99,16.99,,6523890,HardGood,847280073146
Black/Orange,New,3.7,10.0,,"[{'feature': ""Personalized exercise\nActiv5 calibrates to everyone's unique strength level and dynamically creates over 100 workouts based on your unique fitness fingerprint. Everyone can have their own Activ5 account, and an entire household can share a single Activ5 device.""}, {'feature': 'Five-minute workouts\nActiv5 isometric-based exercises are highly efficient because they work out multiple muscle groups at one time, and they maintain a muscle contraction for an extended period of time.'}, {'feature': ""Gamified exercise\nYou can download free Activ5 casual games and use Activ5 as a game controller, so you can get exercise while playing fun mobile games. You won't even realize you're exercising.""}, {'feature': 'Durable design\nMeasures more than 200 lbs. of force.'}, {'feature': 'Works with iOS and Android devices via Bluetooth\nBluetooth connectivity allows easy connection to your smartphone, so you can stay connected while your phone stays out of sight.'}, {'feature': 'Coaching and tracking\nThrough the free Activ5 coaching application, Activ5 actively coaches you through every exercise. Activ5 also presents your exercise and total workout results for the day and over time.'}, {'feature': 'Exercise anywhere\nPortable for easy access whether at home, work or while traveling.'}, {'feature': 'Battery-powered device\nOne AAA battery provides up to six month of battery life.'}]","Get a better workout with this Activ5 fitness tracker. The sturdy but compact design offers easy portability and lasting durability, and integrated sensors track workouts and measure more than 200 pounds of muscle force. This Activ5 fitness tracker includes a convenient app that coaches you through over 100 workouts and games that make exercising fun.",Activbody,ACTIV5-MKWBF,Activbody - Activ5 Portable Workout Device - Black/Orange,129.99,45.99,Over 100 seated and standing full-body workouts for specific muscle groupsRequires 1 AAA batteryCompatible with Android and iOS devices,6354764,HardGood,850004866078
Black/Orange,New,3.5,8.0,,"[{'feature': 'Abdominal Muscle Belt\nFeatures a comfortable ergonomic shape for toning abs.'}, {'feature': 'Electrical muscle stimulation\nApplies EMS with 4 water contact electrodes for the ultimate ab training device.'}, {'feature': 'Reusable Water Contact Electrodes\nIncludes 4 durable water contact electrodes meaning that no contact gel or replacement electrodes are necessary.'}, {'feature': 'Training Programs\n5 training programs available.'}, {'feature': 'Intensity\nAdjustable intensity  of 0-40 for the ultimate in comfort and training.'}]",Flexible ergonomic shape for abdominal training,Beurer,EM37,Beurer - Abdominal Muscle EMS Belt - Black/Orange,59.99,59.99,,6491942,HardGood,853879007140
Black/Purple,New,4.9,62.0,,"[{'feature': 'Removes up to 10x more plaque vs. a manual toothbrush'}, {'feature': ""Pressure sensor lets you know when you're brushing too hard""}, {'feature': 'BrushSync Technology lets you know when to replace your brush head'}, {'feature': '15 Total Settings: 4 Modes (Clean, White+, Deep Clean+ and Gum Health) and 3 Intensities'}, {'feature': 'Elegant charging glass and premium travel case included'}]","Philips Sonicare 9000 Special Edition Rechargeable Toothbrush, Black/Purple HX9911/91",Philips Sonicare,HX9911/91,"Philips Sonicare 9000 Special Edition Rechargeable Toothbrush, Black/Purple HX9911/91 - Black/Purple",189.99,189.99,,6514198,HardGood,075020105035
Black/Red,New,4.5,55.0,,"[{'feature': 'Volcanic ceramic plates\nProvide gentle consistent heat during styling.'}, {'feature': 'Quick heat-up\nMaximum temperature of up to 395&#176;F.'}, {'feature': 'Dual voltage\nProvides flexible, on-the-go operation.'}, {'feature': 'Swivel cord\nAllows a wide range of motion.'}]","Style hair easily with this CHI ceramic hairstyling iron. Its 1-inch plates provide consistent gentle heat that preserves your hair's integrity and produces smooth, shiny results, and its quick-heating design provides speed and convenience whenever it's needed. This CHI ceramic hairstyling iron has an 11-foot cord for maximum user convenience.",CHI,GF8269,CHI - Volcanic Lava Ceramic Flat Iron - Black/Red,99.99,94.99,,6251010,HardGood,633911806227
Black/Red,New,3.9,21.0,,"[{'feature': 'Water bottle holder\nKeeps water on hand, so you can stay hydrated without interrupting your workout.'}, {'feature': 'Clip-in cage pedals\nOffer comfortable support and provide plenty of room for your feet.'}, {'feature': '32 levels of adjustable resistance\nMake it easy to find an intensity level for effective exercising at any stage of fitness.'}, {'feature': ""1,600 preprogrammed workouts\nLet you choose the course that's best for you.""}, {'feature': ""Heart rate monitor\nKeeps track of your heart rate, so you can tell when you've reached your target range.""}, {'feature': 'Multiple-position handlebars\nAllow you to change hand positions to maximize your workout.'}]","Work out from the house easily with this black Echelon EX5 Connect bike. The live classes from professional instructors let you keep burning those calories though the Echelon Fit app, while 32 levels of silent magnetic resistance provide versatile training challenges. This Echelon EX5 Connect bike features a powder-coated frame for durability against scratches, and the ergonomic cushioned seat offers a comfortable riding experience. Enjoy a free 30-day trial of the Echelon Premier Membership with access to more than 3,000 live and on-demand connected fitness classes led by the world's best instructors through the Echelon Fit App. Enjoy exclusive content, class playlists, and better music from top record labels, including your favorite hits from artists like Pitbull, Old Dominion, Lady Gaga, Jessie J., Daddy Yankee, and more. Classes range from 5 to 45 minutes and are designed for everyone from beginner to pro athletes. Explore classes like Cycling, Rowing, Running, HIIT, Kickboxing, Strength Training, Yoga, Pilates, and more. One membership allows up to five users, so you your friends and family can enjoy the Echelon experience together. How to Activate Your 30-Day Membership Trial: 1. Go to member.echelonfit.com and follow the prompts to create a member account with Echelon. 2. Select the Echelon Premier Membership to claim your 30-day FREE trial. Note: You will be required to enter billing information, but you will not be charged until your free trial expires. 3. Check your inbox for the confirmation email. 4. Access thousands of live and on-demand fitness classes.",Echelon,ECH01-EX5,Echelon - Smart Connect EX5 Exercise Bike & Free 30 Day Membership - Black/Red,999.99,999.99,,6412361,HardGood,813061025017
Black/Red,New,4.7,40.0,,"[{'feature': 'The Trailblazer Pro Grooming Kit\nFeatures Wild Willies Beard Boost Serum, Progro Beard Soft, and Progro Beard Shampoo.'}, {'feature': 'Wild Willies Beard Boost Serum\nFights against the hormones that are keeping you from growing a healthy and beautiful beard.'}, {'feature': 'Wild Willies Progro Beard Soft\nLocks moisture and hydrates your beard to make it soft and pleasant to the touch.'}, {'feature': 'Wild Willies Progro Beard Shampoo\nCleans your beard from dirt and grease without stripping away precious sebum oil.'}, {'feature': 'Wet-n-Dry beard comb\nSpecial comb to keep your favorite beard tidy and accurate.'}]","Showcase your beard with this Wild Willies Trailblazer grooming kit. The ProGro-fortified Beard Shampoo cleans and revitalizes your beard without stripping away your natural oils, and the Beard Soft conditioner keeps it hydrated and smooth. This Wild Willies Trailblazer grooming kit features Beard Boost for stimulating new, thicker follicle growth.",Wild Willies,TRLBLZ-0100,Wild Willies - The Trailblazer Pro Grooming Kit - Black/Red,29.97,14.99,,6430707,HardGood,852100007676
Black/Red,New,4.3,15.0,,"[{'feature': 'Wild Willies Essential Kit\nFeatures Wild Willies Beard Wash, Beard Butter, and Hemp Beard Elixir.'}, {'feature': 'Wild Willies Beard Wash\nCleans your beard from dirt and grease with essential oils without stripping away precious sebum oil.'}, {'feature': 'Wild Willies Beard Butter\nTreat your hair and skin with the premium balm full of essential oils, vitamins, butters and carrier oils, and feel pleasant cooling effect.'}, {'feature': 'Wild Willies Hemp Beard Elixir\nLets your beard reach its full potential with a powerful blend of natural ingredients and key vitamins and minerals.'}]","Grow the ultimate beard with this Wet Willies Essential kit. The Pro-Gro fortified Beard Shampoo gently cleans and moisturizes your beard. Hemp and jojoba oil are the secret weapons for stimulating growth in the revitalizing Hemp Beard Elixir. This Wet Willies Essential kit features the cool mint Beard Butter for easy styling and shaping, keeping your beard looking and feeling its best.",Wild Willies,ESSKIT-0100,Wild Willies - Essential Kit - Black/Red,29.97,14.99,,6430710,HardGood,852100007874
